Depth      CNPOR        DPOR         GR         RHOB        RHOC        RILD        RILM        RLL3       RxoRt         SP         SSD         DCAL        ABHV         DT         ITT        MEL15       MEL20       MELCAL       SPOR        TBHV    
    23.0000     -6.7445     58.5635     49.1717      1.7086     -0.7678 100000.0000 100000.0000   1639.5199    160.6755    103.8177    426.2954   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    23.5000     -0.0789     57.8684     42.2727      1.7205     -0.7614 100000.0000 100000.0000   1328.3798    168.9010    108.2284    428.6788   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    24.0000     14.0894     57.6919     33.9028      1.7235     -0.7740 100000.0000 100000.0000   1593.3245    161.7926    113.5803    418.6009   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    24.5000     34.5937     57.8546     30.2054      1.7207     -0.7938 100000.0000 100000.0000   1345.5042    168.4003    120.0954    404.7747   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    25.0000     41.8978     57.4736     33.3790      1.7272     -0.7981 100000.0000 100000.0000    498.2783    207.2275    125.4028    400.3973   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    25.5000     41.8324     56.2309     37.4942      1.7485     -0.7830 100000.0000 100000.0000    932.5213    182.7307    126.8208    406.9748   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    26.0000     40.7108     54.7605     39.1071      1.7736     -0.7644 100000.0000 100000.0000   1739.1398    158.3699    125.0928    415.4338   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    26.5000     33.8630     53.6899     41.4575      1.7919     -0.7563 100000.0000 100000.0000   1306.3219    169.5555    123.6548    417.7098   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    27.0000     29.0440     52.8408     42.2260      1.8064     -0.7569 100000.0000 100000.0000   1062.3950    177.6343    124.1689    414.3214   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    27.5000     32.6076     51.6807     44.8453      1.8263     -0.7542 100000.0000 100000.0000     27.4344    320.5534    125.5517    412.2715   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    28.0000     38.1556     50.0696     49.2824      1.8538     -0.7383    663.2460 100000.0000      0.7739    263.9677    126.4786    418.3842   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    28.5000     39.1329     48.2300     49.1367      1.8853     -0.7099    121.6503 100000.0000      0.6265    205.9385    126.6515    433.1851   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    29.0000     39.2131     46.7062     45.4836      1.9113     -0.6834     58.4450 100000.0000      0.6867    173.6993    126.3638    448.2570   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    29.5000     36.9940     46.3473     43.9112      1.9175     -0.6768     44.3038 100000.0000      0.4529    179.1433    125.9835    452.1207   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    30.0000     34.5669     47.7542     50.3664      1.8934     -0.6970     39.2775 100000.0000      0.3101    189.2347    125.6951    441.4680   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    30.5000     35.8404     50.6537     49.3259      1.8438     -0.7306     35.0606 100000.0000      0.2905    187.3545    125.3501    426.1539   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    31.0000     38.2207     53.6703     40.6409      1.7922     -0.7539     31.2077 100000.0000      0.2989    181.6921    124.6557    419.3891   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    31.5000     35.0418     55.1152     36.9526      1.7675     -0.7548     28.4784 100000.0000      0.3111    176.5502    123.7114    423.8312   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    32.0000     31.3716     54.3934     33.1975      1.7799     -0.7399     26.4137 100000.0000      0.3048    174.4076    123.2187    432.5549   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    32.5000     31.7383     52.3475     37.5463      1.8149     -0.7210     25.0093 100000.0000      0.3100    171.6105    123.8771    439.6875   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    33.0000     34.4084     50.4365     50.4344      1.8475     -0.7066     24.6223 100000.0000      0.3224    169.4646    125.6275    443.8544   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    33.5000     35.3100     49.2702     54.2482      1.8675     -0.6989     24.2117 100000.0000      0.3318    167.6871    127.7485    445.5533   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    34.0000     34.5643     48.2159     52.4665      1.8855     -0.6929     23.5182 100000.0000      0.3344    166.2443    129.5587    446.3943   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    34.5000     35.2536     46.8578     52.2765      1.9087     -0.6856     23.4466 100000.0000      0.3382    165.6832    130.7558    447.0970   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    35.0000     35.9845     45.6032     48.6073      1.9302     -0.6825     23.7739 100000.0000      0.3360    166.4835    131.3051    444.8138   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    35.5000     36.5610     44.8022     46.9632      1.9439     -0.6875     24.3344 100000.0000      0.3387    167.0750    131.3374    437.9653   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    36.0000     36.0259     44.3596     45.1598      1.9515     -0.6932     24.6439 100000.0000      0.3400    167.4249    131.1251    432.0329   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    36.5000     34.9325     43.8016     48.2213      1.9610     -0.6883     25.2318 100000.0000      0.3377    168.6122    130.9637    433.7390   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    37.0000     34.5714     42.6450     63.2296      1.9808     -0.6722     26.1887 100000.0000      0.3365    170.2007    130.9846    441.9698   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    37.5000     33.1367     41.2302     74.5908      2.0050     -0.6559     25.7833 100000.0000      0.3441    168.7145    131.1205    449.5367   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    38.0000     31.5852     40.4783     71.4010      2.0178     -0.6527     24.7943 100000.0000      0.3276    169.1124    131.2361    449.3168   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    38.5000     32.7880     40.8974     66.6838      2.0107     -0.6685     24.4123 100000.0000      0.2966    172.3953    131.2174    438.3962   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    39.0000     36.2465     42.2232     63.2989      1.9880     -0.6942     24.5109 100000.0000      0.2926    173.0829    131.0246    423.5927   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    39.5000     37.0822     43.4241     54.9818      1.9674     -0.7097     24.6147 100000.0000      0.2860    174.1408    130.7553    416.3092   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    40.0000     35.5645     43.6665     54.2925      1.9633     -0.7106     24.6239 100000.0000      0.3181    169.9886    130.5765    416.4765   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    40.5000     36.5663     43.1249     57.7335      1.9726     -0.7098     24.4848 100000.0000      0.3047    171.4472    130.5013    415.1769   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
    41.0000     37.3438     42.1520     53.8521      1.9892     -0.7102     24.4228 100000.0000      0.2967    172.3961    130.2382    411.5272   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500   -999.2500
